Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SID,SID,565.0000000000,565.0000000000,573.0000000000,565.0000000000,25.0000000000,14133.0000000000,7,2203500000.0000000000
2023-04-04,SID,SID,566.0000000000,577.0000000000,577.0000000000,566.0000000000,51.0000000000,28964.0000000000,7,2250300000.0000000000
2023-04-05,SID,SID,566.0000000000,560.0000000000,566.0000000000,560.0000000000,1033.0000000000,582020.2000000000,39,2184000000.0000000000
2023-04-06,SID,SID,560.0000000000,560.0000000000,579.9000000000,560.0000000000,405.0000000000,226845.9000000000,21,2184000000.0000000000
2023-04-07,SID,SID,560.1000000000,553.0000000000,560.1000000000,553.0000000000,147.0000000000,81515.7000000000,14,2156700000.0000000000
2023-04-10,SID,SID,553.1000000000,552.0000000000,553.1000000000,550.0000000000,779.0000000000,430285.1000000000,25,2152800000.0000000000
2023-04-11,SID,SID,550.0000000000,550.0000000000,550.0000000000,550.0000000000,1214.0000000000,667700.0000000000,25,2145000000.0000000000
2023-04-12,SID,SID,550.0000000000,550.0000000000,565.9000000000,550.0000000000,6219.0000000000,3420890.9000000000,56,2145000000.0000000000
2023-04-13,SID,SID,547.0000000000,547.2000000000,550.0000000000,547.0000000000,167.0000000000,91356.0000000000,12,2134080000.0000000000
2023-04-14,SID,SID,547.2000000000,547.2000000000,547.2000000000,547.2000000000,2.0000000000,1094.4000000000,2,2134080000.0000000000
2023-04-17,SID,SID,547.0000000000,545.0000000000,547.0000000000,545.0000000000,5175.0000000000,2820626.8000000000,39,2125500000.0000000000
2023-04-18,SID,SID,550.0000000000,550.0000000000,550.0000000000,545.0000000000,511.0000000000,280011.1000000000,9,2145000000.0000000000
2023-04-19,SID,SID,546.1000000000,545.0000000000,550.0000000000,545.0000000000,1818.0000000000,990965.3000000000,24,2125500000.0000000000
2023-04-20,SID,SID,545.0000000000,546.0000000000,546.0000000000,545.0000000000,1478.0000000000,805550.0000000000,8,2129400000.0000000000
2023-04-21,SID,SID,559.0000000000,552.0000000000,559.0000000000,546.0000000000,453.0000000000,248882.4000000000,13,2152800000.0000000000
2023-04-25,SID,SID,552.0000000000,545.5000000000,560.0000000000,545.5000000000,492.0000000000,271099.3000000000,10,2127450000.0000000000
2023-04-26,SID,SID,552.0000000000,560.0000000000,560.0000000000,548.0000000000,422.0000000000,232612.3000000000,12,2184000000.0000000000
