Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SLF,SLF,612.5000000000,612.5000000000,612.5000000000,612.5000000000,403.0000000000,246837.5000000000,4,1913522887.5000000000
2023-04-04,SLF,SLF,589.0000000000,589.0000000000,589.0000000000,589.0000000000,1000.0000000000,589000.0000000000,2,1840106091.0000000000
2023-04-05,SLF,SLF,,589.0000000000,,,,,0,1840106091.0000000000
2023-04-06,SLF,SLF,570.0000000000,570.0000000000,570.0000000000,570.0000000000,3100.0000000000,1767000.0000000000,2,1780747830.0000000000
2023-04-07,SLF,SLF,580.0000000000,580.0000000000,580.0000000000,580.0000000000,50.0000000000,29000.0000000000,1,1811989020.0000000000
2023-04-10,SLF,SLF,,580.0000000000,,,,,0,1811989020.0000000000
2023-04-11,SLF,SLF,580.0000000000,580.0000000000,580.0000000000,580.0000000000,40.0000000000,23200.0000000000,1,1811989020.0000000000
2023-04-12,SLF,SLF,,580.0000000000,,,,,0,1811989020.0000000000
2023-04-13,SLF,SLF,570.0000000000,570.0000000000,570.0000000000,570.0000000000,15.0000000000,8550.0000000000,2,1780747830.0000000000
2023-04-14,SLF,SLF,550.0000000000,550.0000000000,550.0000000000,550.0000000000,17.0000000000,9350.0000000000,4,1718265450.0000000000
2023-04-17,SLF,SLF,556.0000000000,556.0000000000,556.0000000000,556.0000000000,6000.0000000000,3336000.0000000000,2,1737010164.0000000000
2023-04-18,SLF,SLF,556.0000000000,556.0000000000,556.0000000000,556.0000000000,4408.0000000000,2450848.0000000000,6,1737010164.0000000000
2023-04-19,SLF,SLF,556.0000000000,556.0000000000,556.0000000000,556.0000000000,1592.0000000000,885152.0000000000,3,1737010164.0000000000
2023-04-20,SLF,SLF,,556.0000000000,,,,,0,1737010164.0000000000
2023-04-21,SLF,SLF,578.2000000000,578.2000000000,578.2000000000,578.2000000000,15.0000000000,8673.0000000000,2,1806365605.8000000000
2023-04-25,SLF,SLF,600.0000000000,600.0000000000,600.0000000000,600.0000000000,1.0000000000,600.0000000000,1,1874471400.0000000000
2023-04-26,SLF,SLF,610.0000000000,610.0000000000,610.0000000000,610.0000000000,15.0000000000,9150.0000000000,2,1905712590.0000000000
