Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SMI,SMI,,1369.0000000000,,,,,0,2252128210.0000000000
2023-04-04,SMI,SMI,,1369.0000000000,,,,,0,2252128210.0000000000
2023-04-05,SMI,SMI,1365.0000000000,1369.0000000000,1369.0000000000,1365.0000000000,12.0000000000,16403.0000000000,3,2252128210.0000000000
2023-04-06,SMI,SMI,1369.0000000000,1369.0000000000,1369.0000000000,1369.0000000000,5.0000000000,6845.0000000000,1,2252128210.0000000000
2023-04-07,SMI,SMI,1322.0000000000,1322.0000000000,1322.0000000000,1322.0000000000,5.0000000000,6610.0000000000,1,2174808980.0000000000
2023-04-10,SMI,SMI,1369.0000000000,1369.0000000000,1369.0000000000,1369.0000000000,5.0000000000,6845.0000000000,2,2252128210.0000000000
2023-04-11,SMI,SMI,,1369.0000000000,,,,,0,2252128210.0000000000
2023-04-12,SMI,SMI,,1369.0000000000,,,,,0,2252128210.0000000000
2023-04-13,SMI,SMI,1369.0000000000,1368.0000000000,1369.0000000000,1368.0000000000,515.0000000000,704525.0000000000,3,2250483120.0000000000
2023-04-14,SMI,SMI,1325.0000000000,1325.0000000000,1325.0000000000,1325.0000000000,1.0000000000,1325.0000000000,1,2179744250.0000000000
2023-04-17,SMI,SMI,1325.0000000000,1325.0000000000,1325.0000000000,1325.0000000000,2.0000000000,2650.0000000000,2,2179744250.0000000000
2023-04-18,SMI,SMI,1322.0000000000,1360.0000000000,1360.0000000000,1322.0000000000,2.0000000000,2682.0000000000,2,2237322400.0000000000
2023-04-19,SMI,SMI,1360.0000000000,1360.0000000000,1360.0000000000,1360.0000000000,2104.0000000000,2861440.0000000000,2,2237322400.0000000000
2023-04-20,SMI,SMI,,1360.0000000000,,,,,0,2237322400.0000000000
2023-04-21,SMI,SMI,,1360.0000000000,,,,,0,2237322400.0000000000
2023-04-25,SMI,SMI,,1360.0000000000,,,,,0,2237322400.0000000000
2023-04-26,SMI,SMI,,1360.0000000000,,,,,0,2237322400.0000000000
2023-04-27,SMI,SMI,1325.0000000000,1361.0000000000,1364.0000000000,1302.0000000000,1107.0000000000,1464824.0000000000,16,2238967490.0000000000
2023-04-28,SMI,SMI,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,46.0000000000,59800.0000000000,12,2138617000.0000000000
2023-05-02,SMI,SMI,1362.0000000000,1362.0000000000,1362.0000000000,1362.0000000000,1.0000000000,1362.0000000000,1,2240612580.0000000000
2023-05-03,SMI,SMI,,1362.0000000000,,,,,0,2240612580.0000000000
2023-05-04,SMI,SMI,,1362.0000000000,,,,,0,2240612580.0000000000
2023-05-05,SMI,SMI,1281.0000000000,1350.0000000000,1350.0000000000,1281.0000000000,45.0000000000,58146.0000000000,12,2220871500.0000000000
2023-05-08,SMI,SMI,1288.0000000000,1287.0000000000,1288.0000000000,1287.0000000000,7.0000000000,9013.0000000000,2,2117230830.0000000000
2023-05-09,SMI,SMI,1339.0000000000,1339.0000000000,1339.0000000000,1339.0000000000,1.0000000000,1339.0000000000,1,2202775510.0000000000
2023-05-10,SMI,SMI,,1339.0000000000,,,,,0,2202775510.0000000000
2023-05-11,SMI,SMI,,1339.0000000000,,,,,0,2202775510.0000000000
2023-05-12,SMI,SMI,1320.0000000000,1280.0000000000,1345.0000000000,1280.0000000000,619.0000000000,792559.0000000000,31,2105715200.0000000000
2023-05-15,SMI,SMI,1282.0000000000,1332.0000000000,1332.0000000000,1277.0000000000,220.0000000000,281561.0000000000,28,2191259880.0000000000
2023-05-16,SMI,SMI,1272.0000000000,1272.0000000000,1272.0000000000,1272.0000000000,25.0000000000,31800.0000000000,3,2092554480.0000000000
2023-05-17,SMI,SMI,1335.0000000000,1335.0000000000,1335.0000000000,1335.0000000000,1.0000000000,1335.0000000000,1,2196195150.0000000000
2023-05-18,SMI,SMI,,1335.0000000000,,,,,0,2196195150.0000000000
2023-05-19,SMI,SMI,1285.0000000000,1285.0000000000,1285.0000000000,1285.0000000000,3.0000000000,3855.0000000000,1,2113940650.0000000000
2023-05-22,SMI,SMI,,1285.0000000000,,,,,0,2113940650.0000000000
2023-05-23,SMI,SMI,1288.0000000000,1329.0000000000,1330.0000000000,1285.0000000000,212.0000000000,278653.0000000000,27,2186324610.0000000000
2023-05-24,SMI,SMI,1294.0000000000,1294.0000000000,1294.0000000000,1294.0000000000,5.0000000000,6470.0000000000,3,2128746460.0000000000
2023-05-25,SMI,SMI,1293.0000000000,1293.0000000000,1293.0000000000,1293.0000000000,2.0000000000,2586.0000000000,1,2127101370.0000000000
2023-05-26,SMI,SMI,,1293.0000000000,,,,,0,2127101370.0000000000
2023-05-29,SMI,SMI,1288.0000000000,1324.0000000000,1324.0000000000,1280.0000000000,20.0000000000,26080.0000000000,5,2178099160.0000000000
2023-05-30,SMI,SMI,,1324.0000000000,,,,,0,2178099160.0000000000
2023-05-31,SMI,SMI,,1324.0000000000,,,,,0,2178099160.0000000000
2023-06-01,SMI,SMI,,1324.0000000000,,,,,0,2178099160.0000000000
2023-06-02,SMI,SMI,,1324.0000000000,,,,,0,2178099160.0000000000
2023-06-05,SMI,SMI,1318.0000000000,1321.0000000000,1321.0000000000,1318.0000000000,217.0000000000,286053.0000000000,4,2173163890.0000000000
