Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SNA,SNA,10.7100000000,10.7400000000,11.3700000000,10.7100000000,735.0000000000,7879.9500000000,7,98755911.0000000000
2023-04-04,SNA,SNA,11.3700000000,11.3700000000,11.3700000000,11.3700000000,20.0000000000,227.4000000000,2,104548855.5000000000
2023-04-05,SNA,SNA,10.6900000000,11.0000000000,11.0000000000,10.6900000000,510.0000000000,5455.0000000000,6,101146650.0000000000
2023-04-06,SNA,SNA,11.3600000000,11.3600000000,11.3600000000,11.3600000000,10.0000000000,113.6000000000,2,104456904.0000000000
2023-04-07,SNA,SNA,11.3300000000,11.3300000000,11.3300000000,11.3300000000,290.0000000000,3285.7000000000,3,104181049.5000000000
2023-04-10,SNA,SNA,10.7700000000,11.3100000000,11.3100000000,10.7700000000,510.0000000000,5498.1000000000,5,103997146.5000000000
2023-04-11,SNA,SNA,11.1900000000,11.1900000000,11.1900000000,11.1900000000,10.0000000000,111.9000000000,1,102893728.5000000000
2023-04-12,SNA,SNA,10.8100000000,11.1400000000,11.1400000000,10.8100000000,17.0000000000,186.0800000000,2,102433971.0000000000
2023-04-13,SNA,SNA,11.1800000000,11.1800000000,11.1800000000,11.1800000000,9.0000000000,100.6200000000,2,102801777.0000000000
2023-04-14,SNA,SNA,11.1800000000,11.0000000000,11.1800000000,11.0000000000,201.0000000000,2211.1800000000,3,101146650.0000000000
2023-04-17,SNA,SNA,11.2000000000,11.2000000000,11.2000000000,11.2000000000,3.0000000000,33.6000000000,1,102985680.0000000000
2023-04-18,SNA,SNA,,11.2000000000,,,,,0,102985680.0000000000
2023-04-19,SNA,SNA,11.0000000000,11.2000000000,11.2000000000,11.0000000000,6.0000000000,66.2000000000,2,102985680.0000000000
2023-04-20,SNA,SNA,11.2000000000,11.2000000000,11.2000000000,11.0000000000,168.0000000000,1851.6000000000,4,102985680.0000000000
2023-04-21,SNA,SNA,,11.2000000000,,,,,0,102985680.0000000000
2023-04-25,SNA,SNA,11.2000000000,11.2000000000,11.2000000000,11.2000000000,10.0000000000,112.0000000000,1,102985680.0000000000
2023-04-26,SNA,SNA,10.5500000000,11.1900000000,11.1900000000,10.5500000000,35.0000000000,378.8500000000,3,102893728.5000000000
2023-04-27,SNA,SNA,11.1900000000,11.1900000000,11.1900000000,11.1900000000,10.0000000000,111.9000000000,1,102893728.5000000000
2023-04-28,SNA,SNA,11.1900000000,10.6700000000,11.2000000000,10.6700000000,92.0000000000,1019.0900000000,7,98112250.5000000000
2023-05-02,SNA,SNA,11.1800000000,11.2000000000,11.2000000000,11.0000000000,91.0000000000,1004.9000000000,5,102985680.0000000000
2023-05-03,SNA,SNA,11.1900000000,11.0100000000,11.1900000000,11.0100000000,271.0000000000,2996.2900000000,5,101238601.5000000000
2023-05-04,SNA,SNA,11.0100000000,11.1900000000,11.1900000000,10.4100000000,1536.0000000000,16368.7200000000,14,102893728.5000000000
