Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SNP,SNP,471.0000000000,475.0000000000,475.0000000000,471.0000000000,9.0000000000,4255.0000000000,3,1140000000.0000000000
2023-04-04,SNP,SNP,479.9000000000,479.9000000000,479.9000000000,479.9000000000,20.0000000000,9598.0000000000,2,1151760000.0000000000
2023-04-05,SNP,SNP,,479.9000000000,,,,,0,1151760000.0000000000
2023-04-06,SNP,SNP,480.0000000000,475.1500000000,480.0000000000,475.0000000000,309.0000000000,148280.6000000000,7,1140360000.0000000000
2023-04-07,SNP,SNP,480.0000000000,480.0000000000,480.0000000000,480.0000000000,1.0000000000,480.0000000000,1,1152000000.0000000000
2023-04-10,SNP,SNP,472.0000000000,471.2000000000,484.9000000000,471.0000000000,14.0000000000,6621.5500000000,9,1130880000.0000000000
2023-04-11,SNP,SNP,471.2500000000,471.2500000000,471.2500000000,471.2500000000,4.0000000000,1885.0000000000,1,1131000000.0000000000
2023-04-12,SNP,SNP,484.8500000000,470.0000000000,484.8500000000,470.0000000000,62.0000000000,29195.1500000000,15,1128000000.0000000000
2023-04-13,SNP,SNP,470.0000000000,479.9500000000,480.0000000000,469.0000000000,53.0000000000,24995.5500000000,12,1151880000.0000000000
2023-04-14,SNP,SNP,470.0000000000,484.5000000000,484.5000000000,470.0000000000,10.0000000000,4772.5000000000,2,1162800000.0000000000
2023-04-17,SNP,SNP,484.0000000000,484.8000000000,484.8000000000,484.0000000000,30.0000000000,14531.9500000000,6,1163520000.0000000000
2023-04-18,SNP,SNP,478.0000000000,513.8000000000,513.8000000000,478.0000000000,88.0000000000,44670.9500000000,14,1233120000.0000000000
2023-04-19,SNP,SNP,485.5000000000,483.0000000000,512.7000000000,483.0000000000,171.0000000000,82667.7000000000,17,1159200000.0000000000
2023-04-20,SNP,SNP,471.5000000000,499.7500000000,499.9500000000,471.4000000000,13.0000000000,6298.9000000000,7,1199400000.0000000000
2023-04-21,SNP,SNP,497.9000000000,497.6000000000,497.9000000000,483.1000000000,4.0000000000,1976.5000000000,3,1194240000.0000000000
2023-04-25,SNP,SNP,,497.6000000000,,,,,0,1194240000.0000000000
2023-04-26,SNP,SNP,495.0000000000,495.0000000000,495.0000000000,481.2000000000,48.0000000000,23706.3500000000,9,1188000000.0000000000
2023-04-27,SNP,SNP,495.0000000000,495.0000000000,495.0000000000,481.2500000000,24.0000000000,11852.5000000000,8,1188000000.0000000000
2023-04-28,SNP,SNP,498.7500000000,500.0000000000,509.0000000000,498.7500000000,65.0000000000,32660.7000000000,12,1200000000.0000000000
2023-05-02,SNP,SNP,500.0000000000,505.9000000000,507.0000000000,493.0000000000,15.0000000000,7499.4500000000,10,1214160000.0000000000
2023-05-03,SNP,SNP,,505.9000000000,,,,,0,1214160000.0000000000
2023-05-04,SNP,SNP,492.1500000000,494.1000000000,506.9000000000,492.1500000000,41.0000000000,20263.7500000000,6,1185840000.0000000000
2023-05-05,SNP,SNP,492.5500000000,503.6000000000,505.6000000000,487.0000000000,5118.0000000000,2548052.6000000000,21,1208640000.0000000000
2023-05-08,SNP,SNP,490.0500000000,502.9000000000,502.9000000000,490.0500000000,5.0000000000,2482.9500000000,4,1206960000.0000000000
2023-05-09,SNP,SNP,490.6500000000,503.8000000000,503.8000000000,490.6000000000,5024.0000000000,2503425.8500000000,15,1209120000.0000000000
2023-05-10,SNP,SNP,491.0500000000,499.9500000000,499.9500000000,491.0000000000,424.0000000000,208271.9000000000,14,1199880000.0000000000
2023-05-11,SNP,SNP,492.5000000000,503.0000000000,503.0000000000,491.0000000000,1075.0000000000,537103.4000000000,14,1207200000.0000000000
