Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SOT,SOT,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,2.0000000000,2600.0000000000,2,9360000000.0000000000
2023-04-04,SOT,SOT,1370.0000000000,1370.0000000000,1370.0000000000,1370.0000000000,1.0000000000,1370.0000000000,1,9864000000.0000000000
2023-04-05,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-06,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-07,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-10,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-11,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-12,SOT,SOT,,1370.0000000000,,,,,0,9864000000.0000000000
2023-04-13,SOT,SOT,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,200.0000000000,260000.0000000000,2,9360000000.0000000000
2023-04-14,SOT,SOT,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,150.0000000000,195000.0000000000,2,9360000000.0000000000
2023-04-17,SOT,SOT,,1300.0000000000,,,,,0,9360000000.0000000000
2023-04-18,SOT,SOT,,1300.0000000000,,,,,0,9360000000.0000000000
2023-04-19,SOT,SOT,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,60.0000000000,78000.0000000000,2,9360000000.0000000000
2023-04-20,SOT,SOT,1300.0000000000,1300.0000000000,1300.0000000000,1296.0000000000,55.0000000000,71460.0000000000,4,9360000000.0000000000
2023-04-21,SOT,SOT,1330.0000000000,1330.0000000000,1330.0000000000,1330.0000000000,50.0000000000,66500.0000000000,2,9576000000.0000000000
2023-04-25,SOT,SOT,1330.0000000000,1348.0000000000,1348.0000000000,1330.0000000000,2150.0000000000,2886500.0000000000,3,9705600000.0000000000
2023-04-26,SOT,SOT,,1348.0000000000,,,,,0,9705600000.0000000000
2023-04-27,SOT,SOT,,1348.0000000000,,,,,0,9705600000.0000000000
2023-04-28,SOT,SOT,1347.0000000000,1268.0000000000,1347.0000000000,1268.0000000000,27.0000000000,35026.0000000000,6,9129600000.0000000000
