Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,STR,STR,34.6500000000,34.6500000000,34.6500000000,34.6500000000,2.0000000000,69.3000000000,1,43261044.7500000000
2023-04-04,STR,STR,,34.6500000000,,,,,0,43261044.7500000000
2023-04-05,STR,STR,,34.6500000000,,,,,0,43261044.7500000000
2023-04-06,STR,STR,,34.6500000000,,,,,0,43261044.7500000000
2023-04-07,STR,STR,,34.6500000000,,,,,0,43261044.7500000000
2023-04-10,STR,STR,,34.6500000000,,,,,0,43261044.7500000000
2023-04-11,STR,STR,34.0000000000,34.7000000000,34.7000000000,34.0000000000,25.0000000000,859.7300000000,4,43323470.5000000000
2023-04-12,STR,STR,,34.7000000000,,,,,0,43323470.5000000000
2023-04-13,STR,STR,32.6200000000,32.6200000000,32.6200000000,32.6200000000,17.0000000000,554.5400000000,4,40726559.3000000000
2023-04-14,STR,STR,30.6700000000,30.6700000000,30.6800000000,30.6700000000,151.0000000000,4631.4600000000,7,38291955.0500000000
2023-04-17,STR,STR,,30.6700000000,,,,,0,38291955.0500000000
2023-04-18,STR,STR,,30.6700000000,,,,,0,38291955.0500000000
2023-04-19,STR,STR,30.6700000000,32.5100000000,32.5100000000,30.6700000000,4.0000000000,128.2000000000,2,40589222.6500000000
2023-04-20,STR,STR,30.5600000000,32.5000000000,32.5000000000,30.5600000000,18.0000000000,553.9600000000,4,40576737.5000000000
2023-04-21,STR,STR,,32.5000000000,,,,,0,40576737.5000000000
2023-04-25,STR,STR,32.4000000000,32.4900000000,32.4900000000,32.4000000000,7.0000000000,226.9800000000,2,40564252.3500000000
2023-04-26,STR,STR,32.3500000000,32.3500000000,32.3500000000,31.5300000000,27.0000000000,865.2500000000,4,40389460.2500000000
2023-04-27,STR,STR,32.4000000000,30.6000000000,32.4000000000,30.6000000000,537.0000000000,16482.5900000000,10,38204559.0000000000
2023-04-28,STR,STR,30.6000000000,32.3900000000,32.3900000000,30.5900000000,365.0000000000,11177.8500000000,4,40439400.8500000000
2023-05-02,STR,STR,32.2500000000,32.2500000000,32.2500000000,32.2500000000,10.0000000000,322.5000000000,1,40264608.7500000000
2023-05-03,STR,STR,32.0000000000,32.0000000000,32.0000000000,32.0000000000,7.0000000000,224.0000000000,1,39952480.0000000000
2023-05-04,STR,STR,32.0000000000,32.2900000000,32.2900000000,30.1200000000,107.0000000000,3273.0700000000,6,40314549.3500000000
2023-05-05,STR,STR,32.3000000000,32.3000000000,32.3000000000,32.3000000000,72.0000000000,2325.6000000000,1,40327034.5000000000
2023-05-08,STR,STR,32.2500000000,32.2500000000,32.2500000000,32.2500000000,10.0000000000,322.5000000000,1,40264608.7500000000
2023-05-09,STR,STR,32.3500000000,32.3000000000,32.3500000000,31.3800000000,70.0000000000,2210.6500000000,4,40327034.5000000000
2023-05-10,STR,STR,32.3000000000,32.3500000000,32.3500000000,31.3800000000,31.0000000000,986.8300000000,3,40389460.2500000000
2023-05-11,STR,STR,31.3800000000,32.4900000000,32.4900000000,31.3800000000,136.0000000000,4400.8800000000,6,40564252.3500000000
2023-05-12,STR,STR,32.5000000000,32.5000000000,32.5000000000,32.5000000000,5.0000000000,162.5000000000,1,40576737.5000000000
2023-05-15,STR,STR,30.5800000000,34.4400000000,34.4400000000,30.5700000000,1076.0000000000,34943.3400000000,6,42998856.6000000000
2023-05-16,STR,STR,34.4400000000,36.0000000000,36.0000000000,34.4400000000,90.0000000000,3115.2000000000,6,44946540.0000000000
2023-05-17,STR,STR,33.8500000000,33.8500000000,33.8500000000,33.8500000000,179.0000000000,6059.1500000000,3,42262232.7500000000
2023-05-18,STR,STR,33.8500000000,33.8500000000,33.8500000000,33.8500000000,3368.0000000000,114006.8000000000,3,42262232.7500000000
2023-05-19,STR,STR,33.8500000000,33.8500000000,33.8500000000,33.8500000000,2.0000000000,67.7000000000,1,42262232.7500000000
2023-05-22,STR,STR,,33.8500000000,,,,,0,42262232.7500000000
2023-05-23,STR,STR,,33.8500000000,,,,,0,42262232.7500000000
2023-05-24,STR,STR,33.8000000000,33.8500000000,34.0000000000,33.8000000000,4176.0000000000,141313.6000000000,5,42262232.7500000000
2023-05-25,STR,STR,,33.8500000000,,,,,0,42262232.7500000000
2023-05-26,STR,STR,33.8000000000,33.8000000000,33.8000000000,33.8000000000,15.0000000000,507.0000000000,2,42199807.0000000000
2023-05-29,STR,STR,35.0000000000,35.0000000000,35.0000000000,35.0000000000,8.0000000000,280.0000000000,1,43698025.0000000000
2023-05-30,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-05-31,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-01,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-02,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-05,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-06,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-07,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-08,STR,STR,34.0000000000,33.0000000000,34.0000000000,33.0000000000,255.0000000000,8446.0000000000,5,41200995.0000000000
2023-06-09,STR,STR,32.5000000000,34.0000000000,34.0000000000,32.5000000000,1472.0000000000,48070.9000000000,11,42449510.0000000000
2023-06-12,STR,STR,34.0000000000,35.0000000000,35.0000000000,34.0000000000,151.0000000000,5207.7500000000,6,43698025.0000000000
2023-06-13,STR,STR,,35.0000000000,,,,,0,43698025.0000000000
2023-06-14,STR,STR,35.0000000000,35.0000000000,35.0000000000,35.0000000000,10.0000000000,350.0000000000,1,43698025.0000000000
2023-06-15,STR,STR,34.0000000000,33.0000000000,34.0000000000,33.0000000000,330.0000000000,11120.0000000000,4,41200995.0000000000
2023-06-16,STR,STR,33.0000000000,33.5000000000,34.0000000000,33.0000000000,584.0000000000,19398.0200000000,12,41825252.5000000000
2023-06-19,STR,STR,33.9000000000,34.0000000000,34.0000000000,33.9000000000,52.0000000000,1763.0000000000,2,42449510.0000000000
2023-06-20,STR,STR,33.0000000000,34.4900000000,34.4900000000,33.0000000000,2094.0000000000,69235.3000000000,17,43061282.3500000000
2023-06-21,STR,STR,34.4800000000,34.4800000000,34.4800000000,34.4800000000,10.0000000000,344.8000000000,1,43048797.2000000000
2023-06-22,STR,STR,34.9900000000,34.9900000000,34.9900000000,34.9900000000,14.0000000000,489.8600000000,2,43685539.8500000000
2023-06-23,STR,STR,33.0000000000,34.9900000000,34.9900000000,33.0000000000,601.0000000000,19834.9900000000,3,43685539.8500000000
2023-06-26,STR,STR,,34.9900000000,,,,,0,43685539.8500000000
2023-06-27,STR,STR,,34.9900000000,,,,,0,43685539.8500000000
2023-06-28,STR,STR,,34.9900000000,,,,,0,43685539.8500000000
2023-07-03,STR,STR,32.9500000000,32.9500000000,32.9500000000,32.9500000000,2.0000000000,65.9000000000,1,41138569.2500000000
2023-07-04,STR,STR,31.0200000000,31.0200000000,31.0200000000,31.0200000000,298.0000000000,9243.9600000000,5,38728935.3000000000
2023-07-05,STR,STR,32.0000000000,32.5100000000,32.5100000000,32.0000000000,103.0000000000,3346.5100000000,4,40589222.6500000000
2023-07-06,STR,STR,,32.5100000000,,,,,0,40589222.6500000000
2023-07-07,STR,STR,32.5100000000,34.4600000000,34.4600000000,32.5100000000,1019.0000000000,33164.7400000000,9,43023826.9000000000
2023-07-10,STR,STR,34.4600000000,34.5000000000,34.5000000000,34.4600000000,102.0000000000,3515.4400000000,3,43073767.5000000000
2023-07-11,STR,STR,35.0000000000,35.0000000000,35.0000000000,35.0000000000,11.0000000000,385.0000000000,2,43698025.0000000000
2023-07-12,STR,STR,34.8000000000,34.8000000000,34.8000000000,34.8000000000,15.0000000000,522.0000000000,1,43448322.0000000000
2023-07-13,STR,STR,35.0000000000,35.0000000000,35.0000000000,35.0000000000,1.0000000000,35.0000000000,1,43698025.0000000000
2023-07-14,STR,STR,34.0000000000,34.9900000000,34.9900000000,34.0000000000,2.0000000000,68.9900000000,2,43685539.8500000000
2023-07-17,STR,STR,,34.9900000000,,,,,0,43685539.8500000000
2023-07-18,STR,STR,32.9100000000,32.9100000000,32.9100000000,32.9100000000,20.0000000000,658.2000000000,1,41088628.6500000000
2023-07-20,STR,STR,33.0100000000,34.8000000000,34.8000000000,33.0100000000,6.0000000000,199.8500000000,2,43448322.0000000000
2023-07-21,STR,STR,33.0700000000,33.1000000000,33.1000000000,33.0700000000,44.0000000000,1455.6300000000,5,41325846.5000000000
2023-07-24,STR,STR,34.9500000000,33.9200000000,34.9500000000,33.9200000000,103.0000000000,3496.8500000000,2,42349628.8000000000
2023-07-25,STR,STR,34.9400000000,33.2100000000,34.9400000000,33.2100000000,1253.0000000000,41669.9900000000,12,41463183.1500000000
2023-07-26,STR,STR,34.9400000000,33.1600000000,34.9400000000,33.1600000000,241.0000000000,7993.3400000000,2,41400757.4000000000
2023-07-27,STR,STR,33.1700000000,33.1700000000,33.1700000000,33.1700000000,3.0000000000,99.5100000000,1,41413242.5500000000
2023-07-28,STR,STR,34.9300000000,34.9300000000,34.9300000000,34.9300000000,1.0000000000,34.9300000000,1,43610628.9500000000
2023-07-31,STR,STR,33.0300000000,34.8900000000,34.8900000000,33.0300000000,26.0000000000,879.3900000000,4,43560688.3500000000
2023-08-01,STR,STR,33.1200000000,33.1200000000,33.1200000000,33.1200000000,5.0000000000,165.6000000000,1,41350816.8000000000
2023-08-02,STR,STR,34.7400000000,34.7400000000,34.7400000000,34.7200000000,114.0000000000,3958.2600000000,4,43373411.1000000000
2023-08-03,STR,STR,34.0000000000,34.0000000000,34.0000000000,34.0000000000,5.0000000000,170.0000000000,1,42449510.0000000000
2023-08-04,STR,STR,34.1000000000,34.1500000000,34.1500000000,34.0000000000,330.0000000000,11249.8000000000,6,42636787.2500000000
2023-08-07,STR,STR,34.6900000000,34.6900000000,34.6900000000,34.6900000000,1.0000000000,34.6900000000,1,43310985.3500000000
2023-08-08,STR,STR,34.6900000000,34.8500000000,35.0000000000,34.6900000000,720.0000000000,25109.8300000000,13,43510747.7500000000
2023-08-09,STR,STR,,34.8500000000,,,,,0,43510747.7500000000
2023-08-10,STR,STR,,34.8500000000,,,,,0,43510747.7500000000
2023-08-11,STR,STR,34.5000000000,33.1200000000,34.8700000000,33.1200000000,125.0000000000,4177.0400000000,8,41350816.8000000000
2023-08-15,STR,STR,33.5000000000,33.5000000000,33.5000000000,33.5000000000,100.0000000000,3350.0000000000,1,41825252.5000000000
2023-08-16,STR,STR,,33.5000000000,,,,,0,41825252.5000000000
2023-08-17,STR,STR,33.2000000000,34.7800000000,34.7800000000,33.2000000000,19.0000000000,633.9600000000,2,43423351.7000000000
2023-08-18,STR,STR,34.6900000000,34.7000000000,34.7000000000,34.6900000000,210.0000000000,7286.9000000000,7,43323470.5000000000
2023-08-22,STR,STR,34.8000000000,34.8000000000,34.8000000000,34.8000000000,883.0000000000,30728.4000000000,6,43448322.0000000000
2023-08-23,STR,STR,34.7000000000,34.8000000000,34.8000000000,34.7000000000,4.0000000000,139.1000000000,2,43448322.0000000000
2023-08-24,STR,STR,34.0000000000,34.8000000000,34.8000000000,34.0000000000,304.0000000000,10339.2000000000,2,43448322.0000000000
2023-08-25,STR,STR,34.8000000000,34.8000000000,34.8000000000,34.8000000000,510.0000000000,17748.0000000000,7,43448322.0000000000
2023-08-28,STR,STR,33.0000000000,34.9000000000,34.9500000000,33.0000000000,26.0000000000,906.3500000000,4,43573173.5000000000
2023-08-29,STR,STR,,34.9000000000,,,,,0,43573173.5000000000
2023-08-30,STR,STR,33.0100000000,33.0500000000,34.0000000000,33.0100000000,55.0000000000,1824.1700000000,6,41263420.7500000000
2023-08-31,STR,STR,34.4800000000,34.4800000000,34.4800000000,34.4800000000,2.0000000000,68.9600000000,1,43048797.2000000000
2023-09-01,STR,STR,32.6000000000,34.5500000000,34.5800000000,32.6000000000,557.0000000000,18383.0700000000,10,43136193.2500000000
2023-09-04,STR,STR,34.0000000000,34.4900000000,34.5300000000,34.0000000000,813.0000000000,27645.6300000000,5,43061282.3500000000
2023-09-05,STR,STR,34.4800000000,34.4800000000,34.4800000000,34.4800000000,7.0000000000,241.3600000000,1,43048797.2000000000
2023-09-06,STR,STR,34.4500000000,35.0000000000,36.0400000000,34.4500000000,852.0000000000,29516.1000000000,13,43698025.0000000000
2023-09-07,STR,STR,35.0000000000,35.0000000000,35.0000000000,35.0000000000,8.0000000000,280.0000000000,1,43698025.0000000000
2023-09-08,STR,STR,34.9900000000,34.9800000000,35.0000000000,34.9800000000,26.0000000000,909.5500000000,3,43673054.7000000000
2023-09-11,STR,STR,32.8900000000,34.7900000000,34.7900000000,32.8900000000,506.0000000000,16653.7400000000,4,43435836.8500000000
2023-09-12,STR,STR,34.7700000000,32.9300000000,34.7800000000,32.9300000000,176.0000000000,5897.7300000000,5,41113598.9500000000
2023-09-13,STR,STR,34.7200000000,34.7200000000,34.7200000000,34.7200000000,15.0000000000,520.8000000000,3,43348440.8000000000
2023-09-14,STR,STR,34.7100000000,34.7600000000,34.7600000000,34.7100000000,300.0000000000,10425.8500000000,4,43398381.4000000000
2023-09-15,STR,STR,34.5000000000,34.5000000000,34.5000000000,34.5000000000,100.0000000000,3450.0000000000,1,43073767.5000000000
2023-09-18,STR,STR,,34.5000000000,,,,,0,43073767.5000000000
2023-09-19,STR,STR,34.5000000000,34.5000000000,34.5000000000,34.5000000000,18.0000000000,621.0000000000,2,43073767.5000000000
2023-09-20,STR,STR,34.0000000000,34.2000000000,34.4400000000,34.0000000000,68.0000000000,2314.8000000000,4,42699213.0000000000
2023-09-21,STR,STR,34.4400000000,34.4500000000,34.4500000000,34.4400000000,13.0000000000,447.7400000000,2,43011341.7500000000
2023-09-22,STR,STR,34.4300000000,33.7500000000,34.4400000000,33.7500000000,33.0000000000,1119.2200000000,3,42137381.2500000000
2023-09-25,STR,STR,33.6000000000,33.0000000000,33.6000000000,33.0000000000,60.0000000000,1988.0000000000,3,41200995.0000000000
2023-09-26,STR,STR,33.9900000000,31.0800000000,34.0000000000,31.0300000000,1182.0000000000,36774.0600000000,10,38803846.2000000000
2023-09-27,STR,STR,31.0600000000,31.0800000000,31.0800000000,31.0600000000,45.0000000000,1398.2600000000,4,38803846.2000000000
2023-10-02,STR,STR,,31.0800000000,,,,,0,38803846.2000000000
2023-10-03,STR,STR,32.9400000000,32.9400000000,32.9400000000,32.9400000000,3.0000000000,98.8200000000,1,41126084.1000000000
2023-10-04,STR,STR,31.9600000000,31.1200000000,31.9600000000,31.0900000000,376.0000000000,11715.5300000000,6,38853786.8000000000
2023-10-05,STR,STR,31.1500000000,32.9800000000,32.9800000000,30.2000000000,1163.0000000000,36470.7300000000,17,41176024.7000000000
2023-10-06,STR,STR,32.5500000000,32.9800000000,32.9800000000,32.5500000000,18.0000000000,587.1900000000,2,41176024.7000000000
2023-10-09,STR,STR,32.9500000000,32.9400000000,32.9500000000,32.5000000000,129.0000000000,4211.8200000000,4,41126084.1000000000
2023-10-10,STR,STR,32.9300000000,32.9400000000,32.9400000000,32.9300000000,9.0000000000,296.3900000000,4,41126084.1000000000
2023-10-11,STR,STR,32.9400000000,32.9400000000,32.9400000000,32.9400000000,7.0000000000,230.5800000000,1,41126084.1000000000
2023-10-12,STR,STR,32.9300000000,32.9400000000,32.9400000000,32.9300000000,17.0000000000,559.8200000000,2,41126084.1000000000
2023-10-13,STR,STR,32.9300000000,32.9400000000,32.9400000000,32.9300000000,11.0000000000,362.2400000000,2,41126084.1000000000
2023-10-16,STR,STR,32.5500000000,32.6000000000,32.6000000000,32.5000000000,17.0000000000,553.3000000000,3,40701589.0000000000
2023-10-17,STR,STR,33.9200000000,33.9200000000,33.9200000000,33.9200000000,11.0000000000,373.1200000000,2,42349628.8000000000
2023-10-18,STR,STR,33.9000000000,33.9500000000,33.9500000000,33.9000000000,210.0000000000,7119.5000000000,2,42387084.2500000000
2023-10-19,STR,STR,33.7900000000,33.7900000000,33.7900000000,33.7900000000,3.0000000000,101.3700000000,1,42187321.8500000000
2023-10-20,STR,STR,33.7500000000,33.7500000000,33.7500000000,33.7500000000,1.0000000000,33.7500000000,1,42137381.2500000000
2023-10-23,STR,STR,33.0000000000,33.0000000000,33.0000000000,33.0000000000,502.0000000000,16566.0000000000,3,41200995.0000000000
2023-10-24,STR,STR,32.9700000000,32.9700000000,32.9700000000,32.9700000000,3.0000000000,98.9100000000,1,41163539.5500000000
2023-10-25,STR,STR,,32.9700000000,,,,,0,41163539.5500000000
2023-10-26,STR,STR,32.8900000000,33.7500000000,33.7500000000,32.5000000000,41.0000000000,1343.2700000000,4,42137381.2500000000
2023-10-27,STR,STR,,33.7500000000,,,,,0,42137381.2500000000
2023-10-30,STR,STR,30.6000000000,30.6000000000,30.6000000000,30.6000000000,62.0000000000,1897.2000000000,2,38204559.0000000000
2023-10-31,STR,STR,33.5800000000,33.5800000000,33.5800000000,33.5800000000,15.0000000000,503.7000000000,4,41925133.7000000000
2023-11-01,STR,STR,33.5600000000,33.9000000000,33.9000000000,33.5600000000,401.0000000000,13515.4300000000,8,42324658.5000000000
2023-11-02,STR,STR,31.1100000000,33.8900000000,33.8900000000,31.1100000000,16.0000000000,505.1900000000,4,42312173.3500000000
2023-11-03,STR,STR,,33.8900000000,,,,,0,42312173.3500000000
2023-11-07,STR,STR,,33.8900000000,,,,,0,42312173.3500000000
2023-11-08,STR,STR,30.6200000000,30.7400000000,30.7500000000,30.6200000000,405.0000000000,12449.6200000000,8,38379351.1000000000
2023-11-09,STR,STR,33.7000000000,33.7000000000,33.7000000000,33.7000000000,60.0000000000,2022.0000000000,2,42074955.5000000000
2023-11-10,STR,STR,33.4900000000,31.2100000000,33.4900000000,31.2100000000,113.0000000000,3533.5700000000,3,38966153.1500000000
2023-11-13,STR,STR,31.2100000000,32.1300000000,32.1300000000,31.0000000000,374.0000000000,11609.1800000000,4,40114786.9500000000
