Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,TGC,TGC,123.0000000000,122.0000000000,123.0000000000,122.0000000000,1900.0000000000,232700.0000000000,12,3860061700.0000000000
2023-04-04,TGC,TGC,123.0000000000,123.0000000000,123.0000000000,123.0000000000,5.0000000000,615.0000000000,1,3891701550.0000000000
2023-04-05,TGC,TGC,123.4500000000,123.5000000000,123.6000000000,123.4500000000,30.0000000000,3705.2000000000,5,3907521475.0000000000
2023-04-06,TGC,TGC,123.0000000000,123.0000000000,123.0000000000,122.5000000000,1083.0000000000,133059.0000000000,7,3891701550.0000000000
2023-04-07,TGC,TGC,122.0000000000,124.0000000000,124.0000000000,122.0000000000,4820.0000000000,596097.0000000000,20,3923341400.0000000000
2023-04-10,TGC,TGC,122.0000000000,122.0000000000,123.9000000000,122.0000000000,562.0000000000,68586.8000000000,10,3860061700.0000000000
2023-04-11,TGC,TGC,123.0000000000,122.1000000000,123.0000000000,122.1000000000,140.0000000000,17146.0000000000,3,3863225685.0000000000
2023-04-12,TGC,TGC,122.2000000000,123.0000000000,123.0000000000,118.7500000000,2482.0000000000,299294.7000000000,32,3891701550.0000000000
2023-04-13,TGC,TGC,122.9000000000,123.0000000000,124.0000000000,122.5000000000,781.0000000000,96006.0500000000,20,3891701550.0000000000
2023-04-14,TGC,TGC,122.0000000000,125.0000000000,125.0000000000,122.0000000000,1415.0000000000,176015.9000000000,25,3954981250.0000000000
2023-04-17,TGC,TGC,125.0000000000,121.3000000000,125.0000000000,121.3000000000,131.0000000000,16039.1500000000,7,3837913805.0000000000
2023-04-18,TGC,TGC,124.4500000000,121.0000000000,124.4500000000,121.0000000000,2002.0000000000,242782.9000000000,22,3828421850.0000000000
2023-04-19,TGC,TGC,121.0000000000,123.7000000000,123.8500000000,120.9500000000,24878.0000000000,3009069.2000000000,25,3913849445.0000000000
2023-04-20,TGC,TGC,121.5000000000,124.8000000000,124.8000000000,121.5000000000,28389.0000000000,3517248.1000000000,44,3948653280.0000000000
2023-04-21,TGC,TGC,125.0000000000,124.8000000000,125.5000000000,122.0000000000,17053.0000000000,2119732.3000000000,42,3948653280.0000000000
2023-04-25,TGC,TGC,127.0000000000,127.7500000000,128.0000000000,126.0000000000,3537.0000000000,448669.5000000000,27,4041990837.5000000000
2023-04-26,TGC,TGC,127.6000000000,126.0000000000,127.8000000000,126.0000000000,2383.0000000000,300888.8000000000,21,3986621100.0000000000
2023-04-27,TGC,TGC,127.0000000000,133.5500000000,133.5500000000,125.5000000000,10721.0000000000,1388989.0000000000,78,4225501967.5000000000
2023-04-28,TGC,TGC,135.5000000000,137.9500000000,137.9500000000,132.0000000000,8355.0000000000,1141462.8500000000,84,4364717307.5000000000
2023-05-02,TGC,TGC,133.0500000000,135.0000000000,137.0000000000,133.0500000000,1171.0000000000,157060.4000000000,52,4271379750.0000000000
2023-05-03,TGC,TGC,131.3000000000,134.0000000000,135.0000000000,131.0000000000,11838.0000000000,1564309.7500000000,85,4239739900.0000000000
2023-05-04,TGC,TGC,130.2000000000,136.0000000000,136.0000000000,130.2000000000,6669.0000000000,895352.1000000000,63,4303019600.0000000000
2023-05-05,TGC,TGC,135.9000000000,136.0000000000,136.0000000000,133.0000000000,5680.0000000000,771380.7500000000,52,4303019600.0000000000
2023-05-08,TGC,TGC,134.5000000000,135.9000000000,136.0000000000,133.3500000000,2071.0000000000,278064.4000000000,24,4299855615.0000000000
2023-05-09,TGC,TGC,134.5000000000,135.7000000000,135.9500000000,133.3500000000,12475.0000000000,1673553.7000000000,36,4293527645.0000000000
2023-05-10,TGC,TGC,133.5000000000,133.4000000000,135.4500000000,132.0500000000,10233.0000000000,1364941.8500000000,33,4220755990.0000000000
2023-05-11,TGC,TGC,132.4000000000,134.8000000000,135.4500000000,131.1500000000,1762.0000000000,233665.9000000000,26,4265051780.0000000000
2023-05-12,TGC,TGC,133.0000000000,134.8500000000,134.8500000000,133.0000000000,1707.0000000000,229276.7000000000,26,4266633772.5000000000
2023-05-15,TGC,TGC,132.1000000000,135.0000000000,136.0000000000,132.1000000000,4547.0000000000,614314.6000000000,51,4271379750.0000000000
2023-05-16,TGC,TGC,134.1000000000,136.0500000000,136.0500000000,134.0000000000,17441.0000000000,2342621.2500000000,45,4304601592.5000000000
2023-05-17,TGC,TGC,137.4000000000,139.8000000000,141.0000000000,137.1000000000,26314.0000000000,3665717.2500000000,157,4423251030.0000000000
2023-05-18,TGC,TGC,138.0000000000,137.9500000000,138.8000000000,137.0500000000,1589.0000000000,218460.0000000000,29,4364717307.5000000000
2023-05-19,TGC,TGC,137.1500000000,137.9000000000,137.9000000000,137.0500000000,3783.0000000000,520389.3000000000,28,4363135315.0000000000
2023-05-22,TGC,TGC,137.1000000000,137.2000000000,138.0000000000,137.1000000000,966.0000000000,132453.7500000000,16,4340987420.0000000000
2023-05-23,TGC,TGC,136.5000000000,137.8000000000,138.0000000000,136.5000000000,136.0000000000,18566.8000000000,7,4359971330.0000000000
2023-05-24,TGC,TGC,136.6000000000,137.9500000000,137.9500000000,136.6000000000,1528.0000000000,209337.3500000000,12,4364717307.5000000000
2023-05-25,TGC,TGC,136.7500000000,136.2000000000,137.8000000000,136.2000000000,1845.0000000000,251542.5000000000,22,4309347570.0000000000
2023-05-26,TGC,TGC,135.1000000000,137.6000000000,138.0000000000,135.0000000000,32703.0000000000,4507034.7000000000,66,4353643360.0000000000
2023-05-29,TGC,TGC,138.0000000000,138.0000000000,138.0000000000,136.8500000000,321.0000000000,43956.0000000000,4,4366299300.0000000000
2023-05-30,TGC,TGC,137.5500000000,140.0000000000,141.0000000000,137.5500000000,37098.0000000000,5179292.1500000000,139,4429579000.0000000000
