Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,TMA,TMA,,1300.0000000000,,,,,0,11648000000.0000000000
2023-04-04,TMA,TMA,,1300.0000000000,,,,,0,11648000000.0000000000
2023-04-05,TMA,TMA,1263.0000000000,1300.0000000000,1300.0000000000,1263.0000000000,1216.0000000000,1577335.0000000000,8,11648000000.0000000000
2023-04-06,TMA,TMA,1262.0000000000,1262.0000000000,1262.0000000000,1262.0000000000,300.0000000000,378600.0000000000,5,11307520000.0000000000
2023-04-07,TMA,TMA,1239.0000000000,1310.0000000000,1325.0000000000,1239.0000000000,1978.0000000000,2589284.0000000000,11,11737600000.0000000000
2023-04-10,TMA,TMA,1301.0000000000,1301.0000000000,1301.0000000000,1301.0000000000,50.0000000000,65050.0000000000,2,11656960000.0000000000
2023-04-11,TMA,TMA,1301.0000000000,1301.0000000000,1301.0000000000,1301.0000000000,3.0000000000,3903.0000000000,1,11656960000.0000000000
2023-04-12,TMA,TMA,1301.0000000000,1300.0000000000,1301.0000000000,1300.0000000000,9.0000000000,11707.0000000000,2,11648000000.0000000000
2023-04-13,TMA,TMA,,1300.0000000000,,,,,0,11648000000.0000000000
2023-04-14,TMA,TMA,1238.0000000000,1238.0000000000,1238.0000000000,1238.0000000000,125.0000000000,154750.0000000000,5,11092480000.0000000000
2023-04-17,TMA,TMA,1250.0000000000,1250.0000000000,1250.0000000000,1250.0000000000,5.0000000000,6250.0000000000,3,11200000000.0000000000
2023-04-18,TMA,TMA,,1250.0000000000,,,,,0,11200000000.0000000000
2023-04-19,TMA,TMA,1299.0000000000,1299.0000000000,1299.0000000000,1299.0000000000,1.0000000000,1299.0000000000,1,11639040000.0000000000
2023-04-20,TMA,TMA,1310.0000000000,1230.0000000000,1310.0000000000,1230.0000000000,45.0000000000,56150.0000000000,6,11020800000.0000000000
2023-04-21,TMA,TMA,1250.0000000000,1260.0000000000,1260.0000000000,1250.0000000000,501.0000000000,626260.0000000000,2,11289600000.0000000000
2023-04-25,TMA,TMA,1265.0000000000,1265.0000000000,1265.0000000000,1265.0000000000,1.0000000000,1265.0000000000,1,11334400000.0000000000
2023-04-26,TMA,TMA,,1265.0000000000,,,,,0,11334400000.0000000000
2023-04-27,TMA,TMA,1245.0000000000,1245.0000000000,1245.0000000000,1245.0000000000,2.0000000000,2490.0000000000,1,11155200000.0000000000
2023-04-28,TMA,TMA,1218.0000000000,1218.0000000000,1218.0000000000,1218.0000000000,300.0000000000,365400.0000000000,9,10913280000.0000000000
2023-05-02,TMA,TMA,,1218.0000000000,,,,,0,10913280000.0000000000
2023-05-03,TMA,TMA,1230.0000000000,1218.0000000000,1230.0000000000,1218.0000000000,581.0000000000,707784.0000000000,5,10913280000.0000000000
2023-05-04,TMA,TMA,1287.0000000000,1251.0000000000,1287.0000000000,1250.0000000000,251.0000000000,313837.0000000000,3,11208960000.0000000000
2023-05-05,TMA,TMA,1255.0000000000,1256.0000000000,1287.0000000000,1255.0000000000,431.0000000000,541512.0000000000,6,11253760000.0000000000
2023-05-08,TMA,TMA,,1256.0000000000,,,,,0,11253760000.0000000000
2023-05-09,TMA,TMA,1260.0000000000,1257.0000000000,1261.0000000000,1257.0000000000,5.0000000000,6292.0000000000,5,11262720000.0000000000
2023-05-10,TMA,TMA,1263.0000000000,1280.0000000000,1280.0000000000,1263.0000000000,831.0000000000,1063656.0000000000,3,11468800000.0000000000
2023-05-11,TMA,TMA,,1280.0000000000,,,,,0,11468800000.0000000000
2023-05-12,TMA,TMA,1284.0000000000,1284.0000000000,1284.0000000000,1284.0000000000,1.0000000000,1284.0000000000,1,11504640000.0000000000
2023-05-15,TMA,TMA,1223.0000000000,1223.0000000000,1223.0000000000,1223.0000000000,17.0000000000,20791.0000000000,6,10958080000.0000000000
2023-05-16,TMA,TMA,1249.0000000000,1249.0000000000,1249.0000000000,1249.0000000000,2.0000000000,2498.0000000000,2,11191040000.0000000000
2023-05-17,TMA,TMA,,1249.0000000000,,,,,0,11191040000.0000000000
2023-05-18,TMA,TMA,1260.0000000000,1260.0000000000,1260.0000000000,1260.0000000000,1678.0000000000,2114280.0000000000,2,11289600000.0000000000
2023-05-19,TMA,TMA,1250.0000000000,1270.0000000000,1270.0000000000,1250.0000000000,1299.0000000000,1649408.0000000000,6,11379200000.0000000000
2023-05-22,TMA,TMA,,1270.0000000000,,,,,0,11379200000.0000000000
2023-05-23,TMA,TMA,,1270.0000000000,,,,,0,11379200000.0000000000
2023-05-24,TMA,TMA,1270.0000000000,1270.0000000000,1270.0000000000,1270.0000000000,1000.0000000000,1270000.0000000000,1,11379200000.0000000000
2023-05-25,TMA,TMA,,1270.0000000000,,,,,0,11379200000.0000000000
2023-05-26,TMA,TMA,1295.0000000000,1320.0000000000,1320.0000000000,1295.0000000000,1220.0000000000,1596014.0000000000,8,11827200000.0000000000
2023-05-29,TMA,TMA,1320.0000000000,1350.0000000000,1350.0000000000,1320.0000000000,377.0000000000,500580.0000000000,7,12096000000.0000000000
2023-05-30,TMA,TMA,,1350.0000000000,,,,,0,12096000000.0000000000
2023-05-31,TMA,TMA,1345.0000000000,1330.0000000000,1345.0000000000,1330.0000000000,3039.0000000000,4087312.0000000000,7,11916800000.0000000000
2023-06-01,TMA,TMA,1350.0000000000,1350.0000000000,1350.0000000000,1350.0000000000,11.0000000000,14850.0000000000,3,12096000000.0000000000
2023-06-02,TMA,TMA,,1350.0000000000,,,,,0,12096000000.0000000000
2023-06-05,TMA,TMA,1330.0000000000,1338.0000000000,1338.0000000000,1300.0000000000,619.0000000000,827134.0000000000,8,11988480000.0000000000
