Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,TQM,TQM,,960.0000000000,,,,,0,22645000320.0000000000
2023-04-04,TQM,TQM,,960.0000000000,,,,,0,22645000320.0000000000
2023-04-05,TQM,TQM,960.0000000000,960.0000000000,960.0000000000,960.0000000000,12.0000000000,11520.0000000000,3,22645000320.0000000000
2023-04-06,TQM,TQM,960.0000000000,960.0000000000,960.0000000000,955.0000000000,435.0000000000,417525.2000000000,5,22645000320.0000000000
2023-04-07,TQM,TQM,974.9000000000,960.0000000000,980.0000000000,960.0000000000,4302.0000000000,4169834.6000000000,11,22645000320.0000000000
2023-04-10,TQM,TQM,960.1000000000,980.0000000000,980.0000000000,960.1000000000,107.0000000000,104739.8000000000,5,23116771160.0000000000
2023-04-11,TQM,TQM,980.0000000000,960.0000000000,980.0000000000,960.0000000000,153.0000000000,147780.0000000000,9,22645000320.0000000000
2023-04-12,TQM,TQM,960.0000000000,960.0000000000,960.0000000000,960.0000000000,4.0000000000,3840.0000000000,2,22645000320.0000000000
2023-04-13,TQM,TQM,960.1000000000,970.1000000000,970.1000000000,960.1000000000,4048.0000000000,3899141.8000000000,4,22883244594.2000000000
2023-04-14,TQM,TQM,970.0000000000,970.0000000000,970.0000000000,970.0000000000,2.0000000000,1940.0000000000,1,22880885740.0000000000
2023-04-17,TQM,TQM,970.0000000000,980.0000000000,980.0000000000,960.0000000000,12032.0000000000,11791060.0000000000,6,23116771160.0000000000
2023-04-18,TQM,TQM,,980.0000000000,,,,,0,23116771160.0000000000
2023-04-19,TQM,TQM,980.0000000000,980.0000000000,980.0000000000,980.0000000000,10.0000000000,9800.0000000000,1,23116771160.0000000000
2023-04-20,TQM,TQM,980.0000000000,960.0000000000,980.0000000000,960.0000000000,19.0000000000,18320.1000000000,4,22645000320.0000000000
2023-04-21,TQM,TQM,963.0000000000,963.0000000000,963.0000000000,963.0000000000,1000.0000000000,963000.0000000000,1,22715765946.0000000000
2023-04-25,TQM,TQM,962.1000000000,960.0000000000,963.0000000000,960.0000000000,1236.0000000000,1189717.1000000000,11,22645000320.0000000000
2023-04-26,TQM,TQM,963.0000000000,965.0000000000,965.0000000000,963.0000000000,1687.0000000000,1627895.0000000000,4,22762943030.0000000000
2023-04-27,TQM,TQM,960.0000000000,960.0000000000,960.0000000000,960.0000000000,15.0000000000,14400.0000000000,2,22645000320.0000000000
2023-04-28,TQM,TQM,960.0000000000,960.0000000000,960.0000000000,960.0000000000,20.0000000000,19200.0000000000,2,22645000320.0000000000
2023-05-02,TQM,TQM,951.0000000000,945.0000000000,951.0000000000,945.0000000000,15.0000000000,14246.1000000000,5,22291172190.0000000000
2023-05-03,TQM,TQM,940.0000000000,940.0000000000,940.0000000000,940.0000000000,47.0000000000,44180.0000000000,8,22173229480.0000000000
2023-05-04,TQM,TQM,941.0000000000,950.0000000000,950.0000000000,941.0000000000,17.0000000000,16132.0000000000,3,22409114900.0000000000
2023-05-05,TQM,TQM,,950.0000000000,,,,,0,22409114900.0000000000
2023-05-08,TQM,TQM,,950.0000000000,,,,,0,22409114900.0000000000
2023-05-09,TQM,TQM,950.0000000000,950.0000000000,950.0000000000,950.0000000000,51.0000000000,48450.0000000000,2,22409114900.0000000000
2023-05-10,TQM,TQM,965.0000000000,965.0000000000,965.0000000000,965.0000000000,5000.0000000000,4825000.0000000000,1,22762943030.0000000000
2023-05-11,TQM,TQM,965.0000000000,984.0000000000,984.0000000000,965.0000000000,1482.0000000000,1456749.0000000000,12,23211125328.0000000000
2023-05-12,TQM,TQM,982.9000000000,999.0000000000,999.0000000000,960.0000000000,1719.0000000000,1692691.8000000000,18,23564953458.0000000000
2023-05-15,TQM,TQM,999.0000000000,967.0000000000,999.0000000000,967.0000000000,204.0000000000,197396.0000000000,5,22810120114.0000000000
2023-05-16,TQM,TQM,975.0000000000,969.0000000000,975.0000000000,969.0000000000,1400.0000000000,1362600.0000000000,4,22857297198.0000000000
2023-05-17,TQM,TQM,980.0000000000,980.0000000000,980.0000000000,980.0000000000,2000.0000000000,1960000.0000000000,1,23116771160.0000000000
2023-05-18,TQM,TQM,980.0000000000,970.0000000000,980.0000000000,951.0000000000,2129.0000000000,2071038.0000000000,8,22880885740.0000000000
2023-05-19,TQM,TQM,,970.0000000000,,,,,0,22880885740.0000000000
2023-05-22,TQM,TQM,,970.0000000000,,,,,0,22880885740.0000000000
2023-05-23,TQM,TQM,,970.0000000000,,,,,0,22880885740.0000000000
2023-05-24,TQM,TQM,970.0000000000,1000.0000000000,1000.0000000000,960.0000000000,2406.0000000000,2321861.1000000000,20,23588542000.0000000000
2023-05-25,TQM,TQM,982.0000000000,997.0000000000,999.0000000000,982.0000000000,117.0000000000,116428.0000000000,5,23517776374.0000000000
2023-05-26,TQM,TQM,998.0000000000,989.0000000000,998.0000000000,965.0000000000,2317.0000000000,2265500.4000000000,19,23329068038.0000000000
2023-05-29,TQM,TQM,990.0000000000,999.0000000000,1000.0000000000,966.0000000000,1242.0000000000,1233972.4000000000,13,23564953458.0000000000
