Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-04,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-05,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-06,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-07,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-10,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-11,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-12,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-13,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-14,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-17,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-18,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-19,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-20,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-21,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-25,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-26,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-27,UMR,UMR,,156.9000000000,,,,,0,1790837772.0000000000
2023-04-28,UMR,UMR,156.0000000000,156.0000000000,156.0000000000,156.0000000000,3.0000000000,468.0000000000,1,1780565280.0000000000
2023-05-02,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-03,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-04,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-05,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-08,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-09,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-10,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-11,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-12,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-15,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-16,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-17,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-18,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-19,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-22,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-23,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-24,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-25,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-26,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-29,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-30,UMR,UMR,,156.0000000000,,,,,0,1780565280.0000000000
2023-05-31,UMR,UMR,159.9000000000,159.9000000000,159.9000000000,159.9000000000,13.0000000000,2078.7000000000,3,1825079412.0000000000
2023-06-01,UMR,UMR,,159.9000000000,,,,,0,1825079412.0000000000
2023-06-02,UMR,UMR,,159.9000000000,,,,,0,1825079412.0000000000
2023-06-05,UMR,UMR,,159.9000000000,,,,,0,1825079412.0000000000
