Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2025-07-15,VCN,VCN,259.5500000000,259.5500000000,259.5500000000,259.5500000000,109.0000000000,28290.9500000000,6,2662684517.5000000000
2025-07-16,VCN,VCN,285.5000000000,285.5000000000,285.5000000000,285.5000000000,17029.0000000000,4861779.5000000000,31,2928901675.0000000000
2025-07-17,VCN,VCN,314.0000000000,314.0000000000,314.0000000000,314.0000000000,17609.0000000000,5529226.0000000000,287,3221278900.0000000000
2025-07-18,VCN,VCN,345.3500000000,345.3500000000,345.3500000000,345.3500000000,30087.0000000000,10390545.4500000000,690,3542893847.5000000000
2025-07-21,VCN,VCN,379.8500000000,379.8500000000,379.8500000000,379.8500000000,26280.0000000000,9982458.0000000000,700,3896824172.5000000000
2025-07-22,VCN,VCN,417.8000000000,417.8000000000,417.8000000000,417.8000000000,1340669.0000000000,560131508.2000000000,2130,4286147530.0000000000
2025-07-23,VCN,VCN,417.0000000000,392.0000000000,417.0000000000,384.0000000000,257261.0000000000,103026785.9000000000,5857,4021469200.0000000000
2025-07-24,VCN,VCN,395.0000000000,431.1500000000,431.1500000000,395.0000000000,151047.0000000000,62958444.0000000000,3775,4423103177.5000000000
2025-07-25,VCN,VCN,443.0000000000,447.0000000000,460.0000000000,441.0000000000,127673.0000000000,57471643.8000000000,2622,4585705950.0000000000
2025-07-28,VCN,VCN,451.0500000000,485.0000000000,485.0000000000,451.0500000000,108860.0000000000,50990248.8500000000,1990,4975542250.0000000000
2025-07-29,VCN,VCN,495.0000000000,488.0000000000,514.8000000000,487.0000000000,167317.0000000000,83793321.5500000000,2705,5006318800.0000000000
2025-07-31,VCN,VCN,498.0000000000,475.0000000000,498.0000000000,473.0000000000,74954.0000000000,36243675.0000000000,1699,4872953750.0000000000
2025-08-01,VCN,VCN,475.0000000000,476.0000000000,485.0000000000,466.0000000000,65746.0000000000,31305827.0000000000,1399,4883212600.0000000000
2025-08-04,VCN,VCN,471.1000000000,468.4500000000,475.0000000000,456.0000000000,43485.0000000000,20190542.0000000000,1036,4805758282.5000000000
2025-08-05,VCN,VCN,470.0000000000,467.0000000000,472.0000000000,465.0000000000,20556.0000000000,9592556.6500000000,572,4790882950.0000000000
2025-08-06,VCN,VCN,466.0000000000,467.1000000000,469.9000000000,466.0000000000,19746.0000000000,9232365.9000000000,460,4791908835.0000000000
2025-08-07,VCN,VCN,467.1000000000,461.0000000000,467.1000000000,460.0500000000,25027.0000000000,11591703.2000000000,606,4729329850.0000000000
2025-08-08,VCN,VCN,460.0000000000,456.0500000000,463.0000000000,453.2500000000,27746.0000000000,12686701.3000000000,739,4678548542.5000000000
2025-08-11,VCN,VCN,455.0000000000,442.0000000000,456.0000000000,442.0000000000,46059.0000000000,20585105.9000000000,1029,4534411700.0000000000
2025-08-12,VCN,VCN,440.0000000000,455.0000000000,465.9000000000,437.0000000000,159991.0000000000,71952334.1500000000,1188,4667776750.0000000000
2025-08-13,VCN,VCN,458.0000000000,455.0000000000,463.9500000000,455.0000000000,49864.0000000000,22882695.7000000000,699,4667776750.0000000000
2025-08-15,VCN,VCN,459.0000000000,450.0000000000,460.0000000000,450.0000000000,23140.0000000000,10494445.3000000000,503,4616482500.0000000000
2025-08-18,VCN,VCN,443.0000000000,450.0000000000,455.0000000000,443.0000000000,38380.0000000000,17249858.7000000000,345,4616482500.0000000000
2025-08-19,VCN,VCN,451.0000000000,446.0000000000,453.9500000000,446.0000000000,11408.0000000000,5117295.3000000000,275,4575447100.0000000000
2025-08-22,VCN,VCN,446.1000000000,449.0000000000,449.9000000000,442.0000000000,11630.0000000000,5172760.7500000000,369,4606223650.0000000000
2025-08-25,VCN,VCN,448.0000000000,461.0000000000,464.9000000000,446.1000000000,125181.0000000000,56784346.6000000000,587,4729329850.0000000000
2025-08-26,VCN,VCN,462.1000000000,471.2500000000,475.0000000000,462.1000000000,57254.0000000000,26922674.3500000000,559,4834483062.5000000000
2025-08-27,VCN,VCN,472.2500000000,464.0000000000,473.0000000000,464.0000000000,27128.0000000000,12670100.9000000000,390,4760106400.0000000000
2025-08-28,VCN,VCN,462.5000000000,465.0000000000,468.0000000000,462.0000000000,15355.0000000000,7134363.0500000000,209,4770365250.0000000000
2025-08-29,VCN,VCN,473.9500000000,470.0000000000,479.9000000000,467.0000000000,39646.0000000000,18765683.1000000000,742,4821659500.0000000000
2025-09-01,VCN,VCN,456.0000000000,462.0000000000,470.0000000000,456.0000000000,33451.0000000000,15392948.6000000000,425,4739588700.0000000000
2025-09-02,VCN,VCN,458.0000000000,460.0000000000,463.0000000000,456.4000000000,32590.0000000000,14964339.4500000000,318,4719071000.0000000000
2025-09-03,VCN,VCN,458.0000000000,454.0000000000,463.0000000000,451.0000000000,165295.0000000000,74815344.4500000000,469,4657517900.0000000000
