Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,WAA,WAA,,3750.0000000000,,,,,0,13125000000.0000000000
2023-04-04,WAA,WAA,3650.0000000000,3650.0000000000,3651.0000000000,3650.0000000000,75.0000000000,273753.0000000000,7,12775000000.0000000000
2023-04-05,WAA,WAA,,3650.0000000000,,,,,0,12775000000.0000000000
2023-04-06,WAA,WAA,3750.0000000000,3750.0000000000,3750.0000000000,3750.0000000000,30.0000000000,112500.0000000000,3,13125000000.0000000000
2023-04-07,WAA,WAA,3700.0000000000,3700.0000000000,3700.0000000000,3700.0000000000,50.0000000000,185000.0000000000,2,12950000000.0000000000
2023-04-10,WAA,WAA,3799.0000000000,3800.0000000000,3800.0000000000,3799.0000000000,18.0000000000,68397.0000000000,3,13300000000.0000000000
2023-04-11,WAA,WAA,3800.0000000000,3800.0000000000,3800.0000000000,3800.0000000000,19.0000000000,72200.0000000000,5,13300000000.0000000000
2023-04-12,WAA,WAA,,3800.0000000000,,,,,0,13300000000.0000000000
2023-04-13,WAA,WAA,3750.0000000000,3750.0000000000,3750.0000000000,3750.0000000000,2433.0000000000,9123750.0000000000,5,13125000000.0000000000
2023-04-14,WAA,WAA,,3750.0000000000,,,,,0,13125000000.0000000000
2023-04-17,WAA,WAA,3750.0000000000,3750.0000000000,3750.0000000000,3750.0000000000,43.0000000000,161250.0000000000,4,13125000000.0000000000
2023-04-18,WAA,WAA,3750.0000000000,3750.0000000000,3750.0000000000,3650.0000000000,55.0000000000,204450.0000000000,3,13125000000.0000000000
2023-04-19,WAA,WAA,,3750.0000000000,,,,,0,13125000000.0000000000
2023-04-20,WAA,WAA,,3750.0000000000,,,,,0,13125000000.0000000000
2023-04-21,WAA,WAA,3700.0000000000,3800.0000000000,3800.0000000000,3700.0000000000,93.0000000000,345000.0000000000,4,13300000000.0000000000
2023-04-25,WAA,WAA,3700.0000000000,3700.0000000000,3700.0000000000,3700.0000000000,5.0000000000,18500.0000000000,1,12950000000.0000000000
2023-04-26,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-04-27,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-04-28,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-05-02,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-05-03,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-05-04,WAA,WAA,3707.0000000000,3650.0000000000,3707.0000000000,3650.0000000000,22.0000000000,80409.0000000000,4,12775000000.0000000000
2023-05-05,WAA,WAA,3700.0000000000,3700.0000000000,3700.0000000000,3700.0000000000,20.0000000000,74000.0000000000,1,12950000000.0000000000
2023-05-08,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-05-09,WAA,WAA,,3700.0000000000,,,,,0,12950000000.0000000000
2023-05-10,WAA,WAA,3650.0000000000,3650.0000000000,3650.0000000000,3650.0000000000,20.0000000000,73000.0000000000,1,12775000000.0000000000
