Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ZDJ,ZDJ,,85.0000000000,,,,,0,48692165.0000000000
2023-04-04,ZDJ,ZDJ,,85.0000000000,,,,,0,48692165.0000000000
2023-04-05,ZDJ,ZDJ,,85.0000000000,,,,,0,48692165.0000000000
2023-04-06,ZDJ,ZDJ,,85.0000000000,,,,,0,48692165.0000000000
2023-04-07,ZDJ,ZDJ,88.0000000000,88.0000000000,88.0000000000,88.0000000000,2.0000000000,176.0000000000,1,50410712.0000000000
2023-04-10,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-11,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-12,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-13,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-14,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-17,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-18,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-19,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-20,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-21,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-25,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-26,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-27,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-04-28,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-02,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-03,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-04,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-05,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-08,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-09,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-10,ZDJ,ZDJ,88.0000000000,88.0000000000,88.0000000000,88.0000000000,15.0000000000,1320.0000000000,2,50410712.0000000000
2023-05-11,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-12,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-15,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-05-16,ZDJ,ZDJ,85.9500000000,85.9500000000,85.9500000000,85.9500000000,4.0000000000,343.8000000000,1,49236371.5500000000
2023-05-17,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-18,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-19,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-22,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-23,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-24,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-25,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-26,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-29,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-30,ZDJ,ZDJ,,85.9500000000,,,,,0,49236371.5500000000
2023-05-31,ZDJ,ZDJ,88.0000000000,88.0000000000,88.0000000000,88.0000000000,1.0000000000,88.0000000000,1,50410712.0000000000
2023-06-01,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-02,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-05,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-06,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-07,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-08,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-09,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-12,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-13,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-14,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-15,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-16,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-19,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-20,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-21,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-22,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-23,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-26,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
2023-06-27,ZDJ,ZDJ,,88.0000000000,,,,,0,50410712.0000000000
